sLap,curv,theta,xi,yi
70.8609073584163,-0.0056892170007837,-0.5092754711528226,67.20659866624047,-17.3057066627151
71.5450874377979,-0.0060178873860567,-0.5133927898223244,67.802576442546,-17.641731767688718
72.2292675171795,-0.0062258832406676,-0.5161423661237506,68.18668059738431,-17.859691986525398
72.4283601222151,-0.0062703489247434,-0.5173907462256603,68.35971451097495,-17.9581659938948
72.6274527272508,-0.0063083164301848,-0.5201767280193819,68.74293621194707,-18.177674049928008
73.3116328066324,-0.0063889759910768,-0.5245479381201239,69.33512857555655,-18.52032633068099
73.995812886014,-0.0063978777067036,-0.5273734734284107,69.71676062248514,-18.74258662744253
74.1949054910497,-0.0063880066486347,-0.5286452783130724,69.88867532208576,-18.843001772919248
74.3939980960853,-0.0063735276337362,-0.5314600597442011,70.26939589899614,-19.0668197817488
75.0781781754669,-0.0062984957170293,-0.5357693650438629,70.85770601160641,-19.416095593140177
75.7623582548485,-0.0061968109051473,-0.5385061019453707,71.2368401197072,-19.64259059713377
75.9614508598842,-0.0061645632934655,-0.5397334209103739,71.40763085658895,-19.744905745451444
76.1605434649198,-0.0061308586701725,-0.5424410309080668,71.78587079004937,-19.972890857893574
76.8447235443014,-0.00600468072254,-0.5465493138414754,72.37038161758696,-20.328488205344232
77.528903623683,-0.0058420342420564,-0.5491293684751949,72.7470882609893,-20.558997995973545
77.7279962287187,-0.0057840172635293,-0.5502809235397621,72.91679034845401,-20.663108835418818
77.9270888337543,-0.0057192400215898,-0.5528067477831101,73.29264677471109,-20.895002357537606
78.6112689131359,-0.0054406070417248,-0.5565291027408015,73.87357976741215,-21.25641519490507
79.2954489925175,-0.005066196565401,-0.5587665192608552,74.24804749447247,-21.4905446038859
79.4945415975532,-0.0049375676591557,-0.5597495524686565,74.41675620250322,-21.596257598425343
79.6936342025889,-0.0047997116909574,-0.5618692795835069,74.79049568076682,-21.83154776215228
80.3778142819704,-0.0042552494823037,-0.5647806365120978,75.36842671996156,-22.197741829496135
81.061994361352,-0.0035978053592545,-0.5663695581109376,75.74110354595351,-22.43471153669096
81.2610869663877,-0.0033846281147924,-0.5670434125393886,75.90903671736612,-22.54165224605462
81.4601795714234,-0.0031613490422099,-0.5684395791668351,76.28122221296746,-22.77939289386946
82.144359650805,-0.0023156395324933,-0.5700238936059955,76.8572252671703,-23.148612154704548
82.8285397301866,-0.0013634433578168,-0.5706260397433502,77.22889006299542,-23.38716600251184
83.0276323352222,-0.001069173175261,-0.5708389042160472,77.39641613320944,-23.494743329019446
83.2267249402579,-0.0007690554414472,-0.5711785470481636,77.76794906956981,-23.733502487919967
83.9109050196395,0.0002969259788241,-0.5709753962084013,78.3436005499939,-24.103269649939776
84.5950850990211,0.0013883499181531,-0.5703622504288426,78.71532826084315,-24.341725448246624
84.7941777040567,0.0017054293313388,-0.5700227120605621,78.88294207901704,-24.44916600547269
84.9932703090924,0.0020209986108456,-0.5691301656264595,79.25496330540973,-24.687163622840426
85.677450388474,0.0030700303818355,-0.5670297119961113,79.83206928551422,-25.054656573453443
86.3616304678556,0.0040321553997464,-0.5652489656341506,80.20501142393141,-25.29120851310349
86.5607230728912,0.0042897868438671,-0.5643949007963575,80.37322723974452,-25.397704074936875
86.7598156779269,0.00453749040215,-0.562390980132345,80.74684391614556,-25.633189186726295
87.4439957573085,0.0053145799079697,-0.5587548504290304,81.32697105676682,-25.995894138081
88.1281758366901,0.0060042074307738,-0.5561031742214414,81.70206102236476,-26.229025381090555
88.3272684417258,0.0061936030003797,-0.5548700736655392,81.87128354424937,-26.3339139098575
88.5263610467614,0.006380175278291,-0.552052356392985,82.24731480201521,-26.56552382316525
89.210541126143,0.0070121402725056,-0.5472547897047072,82.83157461877354,-26.921533440372613
89.8947212055246,0.0076555693644147,-0.5438738120530825,83.20948751133822,-27.15006025366338
90.0938138105603,0.0078497843741224,-0.5423109780330699,83.38001395802324,-27.25281528449342
90.292906415596,0.0080479298902807,-0.5387567197139748,83.75909129054556,-27.479405299117197
90.9770864949776,0.0087737682507086,-0.5327538822557296,84.34845196196711,-27.82690548617338
91.6612665743591,0.0095817561267139,-0.5285222305279929,84.72982843404898,-28.04960403870972
91.8603591793948,0.0098346679865904,-0.5265642208588814,84.90195173092185,-28.149661202638722
92.0594517844305,0.0100949631071255,-0.5221059182775193,85.2847492462211,-28.369908157305883
92.7436318638121,0.0110438885199901,-0.5145499097532309,85.88033780228196,-28.706622654932513
93.4278119431937,0.0120565853764419,-0.5092252834880534,86.26594040504955,-28.921920800531243
93.6269045482293,0.0123593947927018,-0.5067646193821104,86.44001092730795,-29.01855060266583
93.825997153265,0.0126643167262624,-0.5011715968665521,86.82733494974102,-29.23073627703078
94.5101772326466,0.0137212205438789,-0.49178381110562863,87.43043418041474,-29.55380546309373
95.1943573120282,0.014780439341155,-0.48525623193876477,87.82108601939647,-29.759800121906974
95.3934499170638,0.0150869045944884,-0.48225254080112373,87.99747260995136,-29.852134492822177
95.5925425220995,0.0153923442748838,-0.47545472217754786,88.39012471053256,-30.054290340297825
96.2767226014811,0.0164294757682832,-0.4642140021422058,89.00190057699047,-30.360611528337927
96.9609026808627,0.0174459784985364,-0.4565092240118623,89.39831192612381,-30.55529255216324
97.1599952858983,0.0177376656701676,-0.45297778594633714,89.57732561942507,-30.642424423430462
97.359087890934,0.0180274486329628,-0.4450162094727212,89.97594821056127,-30.832536728648435
98.0432679703156,0.0190128380051698,-0.43200800445707466,90.59727050355974,-31.118999621962256
98.7274480496972,0.0199764059784378,-0.4231856975902823,90.99994803173281,-31.300365183918952
98.9265406547329,0.0202516413419403,-0.4191537455592677,91.18180592309163,-31.381393405733363
99.1256332597685,0.0205225493241514,-0.41009024194295396,91.58682392076987,-31.557470321642572
99.8098133391501,0.0214069722155031,-0.3954440179932282,92.21820282098606,-31.82102878837171
100.493993418532,0.0221508381897728,-0.3856614028382456,92.62740090059035,-31.98716003289673
100.693086023567,0.0223280415605959,-0.3812160548786056,92.81220122276686,-32.06123233745978
100.892178628603,0.0224826971132657,-0.3712868787625102,93.22374500276106,-32.2214645936001
101.576358707985,0.0228015527905639,-0.3556865105642408,93.86510063865272,-32.4597193508086
102.260538787366,0.0227367980718542,-0.34564511423025374,94.28061731858244,-32.60934738113544
102.459631392402,0.0226357133605188,-0.34113851109045984,94.46823708799053,-32.67595584536694
102.658723997438,0.0224977428899366,-0.331202690212601,94.88587135002373,-32.81956741152817
103.342904076819,0.021729542177685,-0.3163357703205489,95.53610356817771,-33.03240641992896
104.027084156201,0.020520009184494,-0.307273388522224,95.95705446136688,-33.1659841287076
104.226176761236,0.0200878171932855,-0.3032740526677358,96.14706124080284,-33.2254424262631
104.425269366272,0.0196224736964843,-0.2946080551593283,96.56967013291782,-33.35367808068528
105.109449445654,0.0177790937030297,-0.28244395341825834,97.22674106030146,-33.54436152886491
105.793629525035,0.0156232272604044,-0.27554416847748114,97.65171768190048,-33.66451780150015
105.992722130071,0.014949559464156,-0.27256782173962174,97.84346034560228,-33.71811459521543
106.191814735107,0.014259797919363,-0.26627017674588194,98.26953300417223,-33.83432452757252
106.875994814488,0.011808690285548,-0.2581909060889242,98.9310348944117,-34.009017487453804
107.56017489387,0.0092710645808418,-0.2540964670390624,99.35849065259505,-34.12003205206224
107.759267498905,0.0085236243221213,-0.2523994764684273,99.55127520614946,-34.169751075490424
107.958360103941,0.0077695357968136,-0.24896816709846065,99.97929465690738,-34.27857206855991
108.642540183323,0.0051329625309475,-0.24545629638657473,100.64296749643066,-34.444827122923954
109.326720262704,0.0023671774330425,-0.24441086480368734,101.07147843087168,-34.55169637867034
109.52581286774,0.0015269476863755,-0.24410686081105315,101.26466865183781,-34.599815022698195
109.724905472776,0.000663624373696,-0.24381378017005365,101.69324331988122,-34.706428402115506
110.409085552157,-0.0025127239612357,-0.24553293584931568,102.35690341575739,-34.8727343195211
111.093265631539,-0.0061404754845407,-0.24824479298172922,102.78500147281282,-34.98124566595394
111.292358236574,-0.0073047342561357,-0.24969911155387536,102.97791958282129,-35.0304439200956
111.49145084161,-0.0085260296308292,-0.2534645160936003,103.40544541140473,-35.14118833148412
112.175630920992,-0.0132307155669314,-0.26251670812045746,104.06618542765193,-35.318741174187686
112.859811000373,-0.0188105313961353,-0.27082412240124476,104.49172445630502,-35.43689020656747
113.058903605409,-0.0206152466995633,-0.27492846557012063,104.68334006292781,-35.490939486660736
113.257996210445,-0.022498883681397,-0.28486479026294725,105.107178309996,-35.61505152911218
